country,year,"GNI per capita, Atlas method (current US$)","Population, total",Surface area (sq. km),Population living in slums (% of urban population),hie,near_2_plus_oceans,border_count,size
Albania,2000,1130.0,3089027.0,28750.0,28.1,False,False,4.0,small
Angola,2000,360.0,16194869.0,1246700.0,19.7,False,False,4.0,large
Argentina,2000,7400.0,37213984.0,2780400.0,20.29188,False,True,5.0,large
Armenia,2000,630.0,3221100.0,29740.0,12.79599,False,False,4.0,small
Aruba,2000,20060.0,90588.0,180.0,0.0,True,False,0.0,small
Australia,2000,21340.0,19028802.0,7741220.0,0.165,True,True,0.0,large
Austria,2000,26660.0,8011566.0,83879.0,4.5,True,False,8.0,medium
Azerbaijan,2000,630.0,8048600.0,86600.0,50.94,False,False,5.0,medium
Bangladesh,2000,410.0,134544304.0,148460.0,58.31077,False,False,2.0,medium
Belgium,2000,25890.0,10251250.0,30528.0,0.0,True,False,4.0,medium
Belize,2000,4470.0,240799.0,22970.0,15.8,False,False,2.0,small
Benin,2000,450.0,7221619.0,114760.0,71.86569,False,False,4.0,medium
Bhutan,2000,710.0,596863.0,40077.0,57.60128,False,False,2.0,small
Bolivia,2000,960.0,8606326.0,1098580.0,57.94489,False,False,5.0,large
Bosnia And Herzegovina,2000,1340.0,4159771.0,51210.0,5.1,False,False,3.0,medium
Botswana,2000,3110.0,1677382.0,581730.0,58.69239,False,False,4.0,small
Brazil,2000,3950.0,174018282.0,8515770.0,34.73978,False,False,10.0,large
Brunei,2000,19390.0,326424.0,5770.0,37.41056,True,False,1.0,small
Bulgaria,2000,1660.0,8170172.0,110990.0,0.05,False,False,5.0,medium
Burkina Faso,2000,260.0,11925546.0,274220.0,82.21152,False,False,6.0,medium
Burundi,2000,130.0,6470194.0,27830.0,79.7,False,False,3.0,medium
Cabo Verde,2000,1330.0,453317.0,4030.0,70.86701,False,False,0.0,small
Cambodia,2000,290.0,12462336.0,181040.0,84.8,False,False,3.0,medium
Cameroon,2000,730.0,14912631.0,475440.0,65.3638,False,False,6.0,large
Canada,2000,22740.0,30685730.0,15640500.0,0.25,True,True,1.0,large
Central African Republic,2000,240.0,3833416.0,622980.0,85.96516,False,False,6.0,small
Chad,2000,180.0,8512093.0,1284000.0,91.58375,False,False,6.0,large
Chile,2000,5030.0,15503635.0,756096.0,14.616,False,True,3.0,large
Colombia,2000,2370.0,39089934.0,1141750.0,21.17683,False,True,5.0,large
Comoros,2000,670.0,536080.0,1861.0,64.49449,False,False,0.0,small
Costa Rica,2000,3590.0,3937739.0,51100.0,12.69593,False,True,2.0,small
Cote D'Ivoire,2000,610.0,17699004.0,322460.0,67.07658,False,False,5.0,medium
Croatia,2000,5310.0,4468302.0,56540.0,0.4,False,False,5.0,medium
Cuba,2000,2620.0,11109109.0,109890.0,2.15371,False,False,0.0,medium
Cyprus,2000,14180.0,947667.0,9250.0,0.2,True,False,0.0,small
Czechia,2000,6380.0,10255063.0,78870.0,0.05,False,False,4.0,medium
Denmark,2000,32560.0,5339616.0,42920.0,0.0,True,False,1.0,medium
Dominican Republic,2000,2650.0,8584190.0,48670.0,30.15546,False,False,1.0,medium
Ecuador,2000,1500.0,12689206.0,256370.0,57.41273,False,False,2.0,medium
Egypt,2000,1330.0,73083284.0,1001450.0,42.22616,False,True,4.0,large
El Salvador,2000,1890.0,5943366.0,21040.0,1.9036,False,False,2.0,medium
Equatorial Guinea,2000,660.0,703279.0,28050.0,52.91641,False,False,2.0,small
Eritrea,2000,310.0,2247031.0,117600.0,76.73784,False,False,3.0,small
Estonia,2000,4170.0,1396985.0,45230.0,0.05,False,False,2.0,small
Eswatini,2000,1600.0,1041414.0,17360.0,55.35217,False,False,2.0,small
Ethiopia,2000,120.0,67411494.0,1104300.0,92.17158,False,False,6.0,large
Fiji,2000,2150.0,840909.0,18270.0,2.2181,False,False,0.0,small
Finland,2000,26470.0,5176209.0,338150.0,0.0,True,False,3.0,medium
France,2000,24950.0,60918661.0,549087.0,0.0,True,False,8.0,large
Gabon,2000,2980.0,1275572.0,267670.0,57.43,False,False,3.0,small
Gambia,2000,560.0,1455084.0,11300.0,56.92053,False,False,1.0,small
Georgia,2000,790.0,4077131.0,69700.0,13.6,False,False,4.0,small
Germany,2000,26380.0,82211508.0,357030.0,0.0,True,False,9.0,medium
Ghana,2000,330.0,19637087.0,238540.0,60.36841,False,False,3.0,medium
Greece,2000,13100.0,10805808.0,131960.0,0.25,True,False,4.0,medium
Guatemala,2000,1660.0,11697592.0,108890.0,55.49609,False,True,4.0,medium
Guinea,2000,580.0,8428832.0,245860.0,40.66534,False,False,6.0,medium
Guyana,2000,870.0,764832.0,214970.0,26.1,False,False,3.0,small
Haiti,2000,560.0,8303151.0,27750.0,61.2833,False,False,1.0,medium
Honduras,2000,1060.0,6577773.0,112490.0,44.4,False,True,3.0,medium
Hungary,2000,4630.0,10210971.0,93030.0,15.4,False,False,7.0,medium
Iceland,2000,31750.0,281205.0,103000.0,0.0,True,True,0.0,small
Indonesia,2000,570.0,216077790.0,1910930.0,35.12568,False,True,3.0,large
Iran,2000,1750.0,66418659.0,1745150.0,57.60128,False,False,7.0,large
Iraq,2000,1530.0,24424056.0,438320.0,33.89419,False,False,6.0,large
Ireland,2000,24130.0,3805174.0,70280.0,6.2,True,False,1.0,small
Italy,2000,21980.0,56942108.0,302069.0,0.02,True,False,6.0,medium
Kazakhstan,2000,1220.0,15501103.0,2724902.0,24.45811,False,False,5.0,large
Kenya,2000,430.0,30642890.0,580370.0,63.18451,False,False,5.0,large
Kiribati,2000,1370.0,88613.0,810.0,18.1,False,False,0.0,small
Kuwait,2000,18810.0,1954709.0,17820.0,0.0,True,False,2.0,small
Kyrgyzstan,2000,280.0,4898362.0,199950.0,47.15842,False,False,4.0,medium
Laos,2000,280.0,5431212.0,236800.0,54.4,False,False,5.0,medium
Latvia,2000,3240.0,2367550.0,64594.0,2.85,False,False,4.0,small
Lesotho,2000,590.0,2003913.0,30360.0,62.72729,False,False,1.0,small
Libya,2000,5930.0,5305021.0,1759540.0,39.14517,False,False,6.0,large
Lithuania,2000,3220.0,3499536.0,65300.0,4.15,False,False,4.0,small
Luxembourg,2000,45690.0,436300.0,2590.0,0.0,True,False,3.0,small
Madagascar,2000,280.0,16516338.0,587040.0,91.43569,False,False,0.0,large
Malawi,2000,230.0,11315942.0,118480.0,81.41073,False,False,3.0,medium
Mali,2000,280.0,11559290.0,1240190.0,83.87627,False,False,7.0,large
Malta,2000,11480.0,390087.0,320.0,0.0375,True,False,0.0,small
Mauritania,2000,730.0,2613441.0,1030700.0,84.69319,False,False,4.0,small
Mauritius,2000,3960.0,1186873.0,2040.0,76.73784,False,False,0.0,small
Mexico,2000,6570.0,98625552.0,1964380.0,32.16297,False,True,3.0,large
Moldova,2000,490.0,2924668.0,33840.0,26.5,False,False,2.0,small
Mongolia,2000,470.0,2388299.0,1564120.0,57.60411,False,False,2.0,small
Montenegro,2000,1510.0,604950.0,13810.0,19.1,False,False,4.0,small
Morocco,2000,1580.0,28423435.0,446550.0,33.15472,False,False,3.0,large
Mozambique,2000,330.0,18129653.0,799380.0,90.09549,False,False,6.0,large
Myanmar,2000,190.0,45290841.0,676590.0,29.39935,False,False,5.0,large
Namibia,2000,2210.0,1818647.0,824290.0,42.55683,False,False,4.0,small
